title,number_of_videos,created_date,playlist_url,miniatures,descriptions,Details de la playlist
Film Criticism,16,2019-01-24,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOCicti5dwLAKuesMQVi7hw"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/wF1bYBrmLCk/default.jpg "" width=190>","In 15 episodes, Michael Aranda will teach you about film criticism! This course is based on an introductory college level curriculum and will teach by analyzing 15 films from different genres, directors, years, and countries. By the end of the course, you will be able to: 

* Acknowledge both the subjective and objective reasons that make a film ""great"" or ""not great""
* Apply different critical lenses to any film that you watch
* Understand how filmmakers make choices that enhance the stories they're trying to tell
* Analyze films and their messages within the context of society, history, psychology, and the landscape of cinema","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOCicti5dwLAKuesMQVi7hw&name=Film%20Criticism"">Afficher les détails</a>"
Film Production with Lily Gladstone,16,2019-01-24,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPnisE6CrrLO00Qoe67TDpx"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/wZrpxf2ebDM/default.jpg "" width=190>","In 15 episodes, Lily Gladstone will teach you about film production! This course is based on an introductory college level curriculum and introduces practical skills you might learn in film school. By the end of the course, you will be able to: 

* Describe the production process of a film, from writing a screenplay to marketing the final product
* Recognize different departments and jobs on a film set and how they work together
* Notice camera and lighting techniques while watching films and understand what took place behind-the-scenes
* Name specific equipment and understand its purpose on a film set","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPnisE6CrrLO00Qoe67TDpx&name=Film%20Production%20with%20Lily%20Gladstone"">Afficher les détails</a>"
Navigating Digital Information,11,2018-12-18,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtN07XYqqWSKpPrtNDiCHTzU"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/L4aNmdL3Hr0/default.jpg "" width=190>","In 10 episodes, John Green will teach you how to navigate the internet! We’ve partnered with MediaWise, The Poynter Institute, and The Stanford History Education Group to develop this curriculum of hands-on skills to help you evaluate the information you read online. By the end of this course, you will be able to: 

* Examine information using the same skills and questions as fact-checkers
* Read laterally to learn more about the authority and perspective of sources
* Evaluate different types of evidence, from videos to infographics
* Understand how search engines and social media feeds work
* Break bad internet habits like impatience and passivity, and build better ones","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtN07XYqqWSKpPrtNDiCHTzU&name=Navigating%20Digital%20Information"">Afficher les détails</a>"
Engineering,47,2018-05-10,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtO4A_tL6DLZRotxEb114cMR"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/ToC8rFFp88Y/default.jpg "" width=190>","In 46 episodes, Dr. Shini Somara will teach you how we built much of our world with engineering! This course is based on introductory college-level material across many different engineering disciplines. By the end of this course, you will be able to:

*Consider the impact of engineering solutions in global, economic, environmental, and societal contexts
*Recognize ethical and professional responsibilities in engineering situations and make informed judgements
*Apply principles of engineering, science, and mathematics to identify and solve technical problems
*Discuss grand challenges and questions in engineering and progress on solutions","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtO4A_tL6DLZRotxEb114cMR&name=Engineering"">Afficher les détails</a>"
History of Science,47,2018-03-19,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNppY8ZHMPDH5TKK2UpU8Ng"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/-hjGgFgnYIA/default.jpg "" width=190>","In 46 episodes, Hank Green teaches you the history of science! This course is based on the 2nd and 3rd edition of Science & Technology in World History by McClellan & Dorn. By the end of this course, you will be able to:

* Thoughtfully consider the questions, “What is stuff?” and “Where are we?”
* Understand science as a social and historical concept that varies between cultures
* Describe the development of the process and products of scientific inquiry over time 
* Explain how scientists influence society and society influences scientists
* Contextualize the limitations of scientific inquiry, from what we still don’t know to who has been excluded","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNppY8ZHMPDH5TKK2UpU8Ng&name=History%20of%20Science"">Afficher les détails</a>"
Recess,2,2018-03-05,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNzYWo8pM6cpIzD2ItKVSv3"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/RokCkouFFtg/default.jpg "" width=190>",,"<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNzYWo8pM6cpIzD2ItKVSv3&name=Recess"">Afficher les détails</a>"
Media Literacy,13,2018-02-20,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtM6jSpzb5gMNsx9kdmqBfmY"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/sPwJ0obJya0/default.jpg "" width=190>","In 12 episodes, Jay Smooth teaches you Media Literacy! Based on an introductory college level curriculum, this series takes you through the history and psychology of media and gives you the skills to become more media savvy. By the end of this course, you’ll be able to:
* Describe media literacy as a skill and its development over time
* Understand the positive and negative effects of media on audiences
* Explain how media regulations and policies affect media producers
* Create many forms of media in an informed way","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtM6jSpzb5gMNsx9kdmqBfmY&name=Media%20Literacy"">Afficher les détails</a>"
Crash Course Theater and Drama,51,2018-02-02,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtONXALkeh5uisZqrAcPKCee"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/LEN8FZEKaNU/default.jpg "" width=190>","In 50 videos, Mike Rugnetta teaches you theater and drama! This course is based on an introductory college level course in Theater and explores the history, theory, and technology that contributes to the art form most like life. By the end of this course, you will be able to:

* Describe the leading theories of the origins of theater
* Understand how theater was produced and what it meant to audiences around the world
* Analyze the historical and cultural contexts that lead to the creation of different movements in theater history
* Argue for the importance of producing and understanding theater","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtONXALkeh5uisZqrAcPKCee&name=Crash%20Course%20Theater%20and%20Drama"">Afficher les détails</a>"
Statistics,45,2018-01-29,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/zouPoc49xbk/default.jpg "" width=190>","In 44 episodes, Adriene Hill teaches you Statistics! This course is based on the 2018 AP Statistics curriculum and introduces everything from basic descriptive statistics to data collection to hot topics in data analysis like Big Data and neural networks. By the end of the course, you will be able to:

*Identify questions that can be answered using statistics
*Describe patterns, trends, associations, and relationships in data both numerically and graphically
*Justify a conclusion using evidence from data, definitions, or statistical inference
*Apply statistical models to make inferences and predictions from data sets
*Understand how statistics are used broadly in the world and interpret their meaning, like in newspapers or scientific studies","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&name=Statistics"">Afficher les détails</a>"
Crash Course بالعربي (Crash Course World History in Arabic!),42,2018-01-18,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPfI7iNFFINDNkuxnvl88w3"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/IVzK4iQl6uY/default.jpg "" width=190>","Crash Course has partnered with Deutsche Welle to create Crash Course World History in Arabic! Videos will upload weekly on Thursdays at 5pmGMT/9amEST.

هذه السلسلة تقدم بالتعاون مع قناة Crash Course الأصلية ويمكنكم مشاهدة النسخة الأصلية بالإنجليزية على هذا الرابط: http://bit.ly/198aIMq
اتبع السلسلة الأولى من مسلسلنا ""دورة تحطم باللغة العربية"" مع ياسر أبو مايلك والاستمتاع بمعلومات مفيدة ومسلية.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPfI7iNFFINDNkuxnvl88w3&name=Crash%20Course%20%D8%A8%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%20%28Crash%20Course%20World%20History%20in%20Arabic%21%29"">Afficher les détails</a>"
Study Skills,11,2017-08-08,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNcAJRf3bE1IJU6nMfHj86W"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/IhuwS5ZLwKY/default.jpg "" width=190>","In 10 episodes, Thomas Frank teaches you study skills! Based on introductory college-level material and scientific studies, this course takes you through the tools and skills you need to get better at studying and finishing assignments in school and beyond. By the end of this course, you will be able to:

* Understand the advantages and disadvantages of different note-taking methods
* Recognize factors that inhibit productivity and solutions to get past them
* Feel better prepared to study for and take your next exam or finish your next assignment
* Analyze the connections between studying and memory, exercise, and studying","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNcAJRf3bE1IJU6nMfHj86W&name=Study%20Skills"">Afficher les détails</a>"
Film History,17,2017-04-06,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtN-Bd-H_TGq72CN50Fpv_JX"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/avAALYc7jw8/default.jpg "" width=190>","In 16 episodes, Craig Benzine will teach you about film history! This course is based on an introductory college level curriculum, with A History of Narrative Film by David A. Cook as its reference text. By the end of the course, you will be able to: 

* Understand that cinema is an illusion and how our brains make meaning out of still images placed side-by-side in rapid succession
* Discuss the birth of the moving picture and the innovations that made sound and color possible
* Explain how the studio system rose to power and then collapsed
* Contextualize the many uses of film around the globe, including as propaganda","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtN-Bd-H_TGq72CN50Fpv_JX&name=Film%20History"">Afficher les détails</a>"
Crash Course Sociology,45,2017-03-13,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMJ-AfB_7J1538YKWkZAnGA"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/ylXVn-wh9eQ/default.jpg "" width=190>","In 44 videos, Nicole Sweeney will teach you sociology! This course is based on an introductory college level curriculum, with Sociology, 15th edition, by John J. Macionis as its reference text. By the end of this course, you will be able to:

* Understand what makes sociology a science and how sociological investigations occur
* Recognize the social institutions that operate within the United States and influence cultural norms
* Contextualize key sociological theories within history and the field of sociology
* Discuss the way social groupings, interactions, and stratifications are constructed within societies and construct our behavior
* Predict how social class, stratification, and institutions create or improve inequalities","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMJ-AfB_7J1538YKWkZAnGA&name=Crash%20Course%20Sociology"">Afficher les détails</a>"
World Mythology,42,2017-02-25,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNCG9Vq7vdvJytS-F-xGi7_"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/iRCVcuA6yZQ/default.jpg "" width=190>","In 41 episodes, Mike Rugnetta will teach you world mythology! This course is based on introductory college-level curriculum spanning mythologies around the globe. By the end of this course, you will be able to:

*Define myth and decide what elements distinguish it from other narrative forms
*Connect myths around the world and identify how different cultures sought answers to similar big questions 
*Use myths to understand past civilizations, like by recognizing their core values
*Identify how the staying power of myths influence our beliefs and cultures today, like in our language","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNCG9Vq7vdvJytS-F-xGi7_&name=World%20Mythology"">Afficher les détails</a>"
Computer Science,41,2017-02-15,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNlUrzyH5r6jN9ulIgZBpdo"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/tpIctyqH29Q/default.jpg "" width=190>","In 40 episodes, Carrie Anne Philbin teaches you computer science! This course is based on introductory college-level material as well as the AP Computer Science Principles guidelines. By the end of this course, you will be able to:

*Outline the history of computers and the design decisions that gave us modern computers
*Describe the basic elements of programming and software
*Identify the basic components of computer hardware and what they do
*Describe how computers are used and how that has evolved over time
*Appreciate how far computers have come and how far they might take us","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNlUrzyH5r6jN9ulIgZBpdo&name=Computer%20Science"">Afficher les détails</a>"
Literature 3,10,2016-08-01,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNEWbqDPdM8FrNHuyVxPQl_"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/zMTERytCNAU/default.jpg "" width=190>","In 9 episodes, John Green reads even more literature! The analyses and books chosen in this course are based on introductory college-level curriculum and the AP Literature guidelines. By the end of this course, you will be able to:

*Use characters and setting to explore a range of values, beliefs, assumptions, biases, and cultural norms
*Discuss the role of the narrator and how their perspective affects how readers experience and interpret a text
*Recognize comparisons, representations, and associations that invite readers to interpret a text
*Explain the function of significant events in a plot, as well as the contributions of structure, sequence, contrast, and conflict
*Employ different lenses and focal points to read a text multiple ways and recognize the glorious ambiguity of literature
*Discuss how different texts explore the theme of “self” and how it is made","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNEWbqDPdM8FrNHuyVxPQl_&name=Literature%203"">Afficher les détails</a>"
Games,30,2016-04-01,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPTrc_yg73RghJEOdobAplG"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/FVTNtlq3-44/default.jpg "" width=190>","In 29 episodes, Andre Meadows will teach you about games! This course was developed with The Art of Game Design: A Book of Lenses by Jesse Schell as a main reference text. By the end of this course, you will be able to:

* Comprehend, interpret, and analyze texts, games, animations, and imagery
* Discuss game-related problems and solutions in group settings
* Contextualize games according to historical period and psychological underpinnings 
* Understand how games are developed and how consoles and companies change over time
* Apply concepts to particular games and to examples from everyday life","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPTrc_yg73RghJEOdobAplG&name=Games"">Afficher les détails</a>"
Physics,47,2016-03-31,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtN0ge7yDk_UA0ldZJdhwkoV"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/OoO5d5P0Jn4/default.jpg "" width=190>","In 46 episodes, Dr. Shini Somara will help you find your place in the world -- literally! -- with physics. This course is based on introductory college-level material and the 2016 AP Physics I and II curriculum. By the end of this course, you will be able to:

*Identify the fundamental forces describing the world and the core branches of physics
*Pose, refine, and evaluate scientific questions
*Connect phenomena and models across spatial and temporal scales
*Use representations and models to communicate scientific phenomena and solve scientific problems
*Apply mathematical equations that describe natural phenomena","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtN0ge7yDk_UA0ldZJdhwkoV&name=Physics"">Afficher les détails</a>"
Philosophy,47,2016-02-08,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNgK6MZucdYldNkMybYIHKR"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/BNYJQaZUDrI/default.jpg "" width=190>","In 46 episodes, Hank Green will teach you philosophy! This course is based on an introductory Western philosophy college level curriculum. By the end of the course, you will be able to: 

* Examine topics like the self, ethics, religion, language, art, death, politics, and knowledge through a philosophical perspective
* Craft arguments, apply deductive and inductive reasoning, and identify fallacies
* Understand the perspectives and major theories proposed by various philosophers throughout history
* Apply philosophical ideas to ethical questions in modern society
* Consider your personal values and approach to life","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNgK6MZucdYldNkMybYIHKR&name=Philosophy"">Afficher les détails</a>"
Economics,36,2015-07-20,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPNZwz5_o_5uirJ8gQXnhEO"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/9I_-ADGrKQo/default.jpg "" width=190>","In 35 episodes, Adriene Hill and Jacob Clifford teach you economics! This course is based on introductory college level curriculum and the 2015 AP Economics guidelines. By the end of this course, you will be able to:

*Identify fundamental economic concepts, principles, or models and describe their similarities, differences, and limitations
*Apply economic analyses to everyday life and see economics in real world situations
*Discuss economic differences and similarities internationally and the roles played by various governments
*Determine the outcome of an economic situation using economic concepts, principles, or models and possible effects changes have on other economic markets","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPNZwz5_o_5uirJ8gQXnhEO&name=Economics"">Afficher les détails</a>"
Intellectual Property,8,2015-05-07,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMwV2btpcij8S3YohW9gUGN"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/VchmEsK_VFY/default.jpg "" width=190>","In 7 episodes, Stan Muller teaches you about Intellectual Property! This course introduces you to the concept and importance of intellectual property, and covers copyright, patents, international IP law and problems with intellectual property. By the end of this course, you will be able to:

* Define intellectual property, copyright, patents, and other relevant terms
* Complicate the idea of an intellectual property versus technology binary
* Understand the impact of intellectual property in your daily life and the wider community
* Describe the function of intellectual property from both a consumer and creator perspective","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMwV2btpcij8S3YohW9gUGN&name=Intellectual%20Property"">Afficher les détails</a>"
U.S. Government and Politics,50,2015-01-23,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOfse2ncvffeelTrqvhrz8H"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/lrk4oY7UxpQ/default.jpg "" width=190>","In 50 videos, Craig Benzine (aka WeezyWaiter) teaches you U.S. government and politics! The course is based on the 2014 AP U.S. Government and Politics curriculum. By the end of this learning playlist, you will be able to:

* Become a more engaged and active citizen
* Understand how the US government works and how you can make it better for you and your community
* Explain the differences between the three branches of government
* Describe how political ideology, parties, and media influence elections and public policy
* Identify the limitations of democracy and the U.S. political system","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOfse2ncvffeelTrqvhrz8H&name=U.S.%20Government%20and%20Politics"">Afficher les détails</a>"
Astronomy,48,2015-01-15,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPAJr1ysd5yGIyiSFuh0mIL"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/sViAwfeMjV0/default.jpg "" width=190>","In 46 episodes, Phil Plait (aka The Bad Astronomer) teaches you astronomy! This course starts with the astronomical observations we can make with the naked eye and expands out to cover the solar system, stars, galaxies, and the universe itself. The content is loosely based on an introductory university-level curriculum. By the end of this course, you will be able to:

* Define the components of the universe, from the planets in the Solar System to dark energy and gamma rays
* Understand how astronomers collect and analyze data to study the past and current state of the universe 
* Explain the difference between asteroids, comets, and meteors
* Contextualize observed phenomena within scientific theories about the history and physics of space, such as the Big Bang theory","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPAJr1ysd5yGIyiSFuh0mIL&name=Astronomy"">Afficher les détails</a>"
Anatomy & Physiology,49,2015-01-06,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOAKed_MxxWBNaPno5h3Zs8"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/pVkUCrgQCCc/default.jpg "" width=190>","In 47 episodes, Hank Green will teach you anatomy and physiology! This course is based on an introductory college level curriculum, with Human Anatomy and Physiology, 9th edition, by Marieb and Hoehn as its main reference text. By the end of the course, you will be able to:

* Understand the chemistry and cell biology of systems in the human body
* Recognize how tissue types define the function of each organ system
* Predict how the failure of an organ system might lead to disease
* Explain how energy is changed into different forms throughout the body
* Break down the names of anatomical systems using Greek and Latin root words

We also made flashcards to help you review the content in this course! Find them on the free Crash Course App available for Apple devices in the App Store and Android devices in the Google Play store.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOAKed_MxxWBNaPno5h3Zs8&name=Anatomy%20%26%20Physiology"">Afficher les détails</a>"
Big History,11,2014-09-17,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMczXZUmjb3mZSU1Roxnrey"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/iOWPwHAEIBI/default.jpg "" width=190>","In 10 episodes John Green, Hank Green, and Emily Graslie teach you about, well, everything. It’s Big History! This course will take you on a whirlwind journey from the creation to the death of the universe and is based on the Big History Project (https://www.bighistoryproject.com/about) social studies curriculum. By the end of this course, you will be able to:

*Integrate physics, math, history, and more to tell a single story about people, civilizations, and how we are connected to everything around us
*Zoom out to pose and refine scientific and historical questions
*Contextualize the tremendous scale of existence
*Outline the most powerful and important breakthroughs
*Evaluate how we know what we know and why we’re sure we know it","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMczXZUmjb3mZSU1Roxnrey&name=Big%20History"">Afficher les détails</a>"
Bloopers & Outtakes,59,2014-09-03,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPZXEHoZjFUbx5Gr9IxUQW-"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/CHFOiVRQB5s/default.jpg "" width=190>",,"<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPZXEHoZjFUbx5Gr9IxUQW-&name=Bloopers%20%26%20Outtakes"">Afficher les détails</a>"
World History 2,31,2014-07-18,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNjasccl-WajpONGX3zoY4M"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/SKj4cr2C-3o/default.jpg "" width=190>","In 30 episodes, John Green rethinks world history! In round two we take a different approach and try to think more thematically rather than chronologically. By the end of the course, you will be able to:

*Think about history thematically and in terms of systems, not just important events
*Analyze the context of historical events, developments, and processes and explain how they are situated within a broader historical context
*Explain the importance of point of view, historical situation, and audience of a source
*Question how what we think of as “history,” how it is written, and what biases are at play in a work","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNjasccl-WajpONGX3zoY4M&name=World%20History%202"">Afficher les détails</a>"
Psychology,41,2014-03-03,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOPRKzVLY0jJY-uHOH9KVU6"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/vo4pMVb0R6M/default.jpg "" width=190>","In 40 episodes, Hank Green will teach you psychology! This course is based on the 2013 AP Psychology curriculum. By the end of the course, you will be able to:

* Understand the biological basis of human behavior and perception
* Explain standard models of thinking, learning, and emotions 
* Recognize rigorous psychological research methods, including ethical considerations
* Identify cases of abnormal psychology and associated treatments
* Apply psychological theories to social groups","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOPRKzVLY0jJY-uHOH9KVU6&name=Psychology"">Afficher les détails</a>"
Chemistry,47,2013-02-24,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtPHzzYuWy6fYEaX9mQQ8oGr"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/FSyAehMdpyI/default.jpg "" width=190>","In 46 episodes, Hank Green will teach you chemistry! This course is mostly based on the 2012 AP Chemistry curriculum, but it also covers some introductory organic chemistry. By the end of the course, you will be able to: 

* Utilize the fundamental tools of chemistry, including the periodic table, nomenclature, and basic lab safety techniques
* Understand the structure of matter
* Predict and explain chemical reactions, and comprehend the many ways they affect our world
* Reason through problems involving kinetics, thermodynamics, and chemical equilibrium
* Recognize different organic chemicals and their uses

We also made flashcards to help you review the content in this course! Find them on the free Crash Course App available for Apple devices in the App Store and Android devices in the Google Play store.","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtPHzzYuWy6fYEaX9mQQ8oGr&name=Chemistry"">Afficher les détails</a>"
US History,49,2013-01-31,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtMwmepBjTSG593eG7ObzO7s"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/6E9WU9TGrec/default.jpg "" width=190>","In 48 episodes, John Green will teach you the history of the United States of America! This course is based off of the 2013 AP US History curriculum. By the end of the course, you will be able to:

* Identify the context and causes of historical developments throughout recorded US history
* Explain the similarities and differences between historical developments
* Understand the complexity of the American and national identity and values
* Describe how social structures, politics, power, and culture influence each other and historical developments
* Contextualize and complicate the common narratives of US history that explain the present","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtMwmepBjTSG593eG7ObzO7s&name=US%20History"">Afficher les détails</a>"
Literature 1,9,2012-11-15,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtOeEc9ME62zTfqc0h6Pe8vb"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/MSYw502dJNY/default.jpg "" width=190>","In 8 episodes, John Green dives into literature! The analyses and books chosen in this course are based on introductory college-level curriculum and the AP Literature guidelines. By the end of this course, you will be able to:

*Use characters and setting to explore a range of values, beliefs, assumptions, biases, and cultural norms
*Discuss the role of the narrator and how their perspective affects how readers experience and interpret a text
*Recognize comparisons, representations, and associations that invite readers to interpret a text
*Explain the function of significant events in a plot, as well as the contributions of structure, sequence, contrast, and conflict
*Employ different lenses and focal points to read a text multiple ways and recognize the glorious ambiguity of literature
*Discuss how different texts employ time as a theme","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtOeEc9ME62zTfqc0h6Pe8vb&name=Literature%201"">Afficher les détails</a>"
Ecology,13,2012-11-05,"<a href=""https://www.youtube.com/playlist?list=PL8dPuuaLjXtNdTKZkV_GiIYXpV9w4WxbX"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/sjE-Pkjp3u4/default.jpg "" width=190>","In 12 episodes, Hank Green teaches you ecology! This course is based on a college level introductory curriculum with the 9th edition of Campbell Biology by Reece, et al. as its base text.
By the end of this course, you will be able to:

* Define ecological terms like population, ecosystem, community, and ecological succession
* Understand how competition and environmental changes positively and negatively affect populations
* Explain cycles of chemical resources and how they relate to ecosystems
* Contextualize the effects of human behavior from an ecological standpoint","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL8dPuuaLjXtNdTKZkV_GiIYXpV9w4WxbX&name=Ecology"">Afficher les détails</a>"
Biology (2012),41,2012-02-01,"<a href=""https://www.youtube.com/playlist?list=PL3EED4C1D684D3ADF"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/QnQe0xW_JY4/default.jpg "" width=190>","In 40 videos, Hank Green teaches you biology! This course is based on the AP Biology curriculum and also covers some introductory anatomy. By the end of this course, you will be able to:

* Recognize the chemicals, molecules, and structures that make up living things 
* Understand the processes that keep organisms alive and drive cellular reproduction
* Identify evidence of evolution and explain its role in speciation, development, and anatomy
* Describe the characteristics of the different kingdoms and some phyla that make up the taxonomy of living things
* Predict how the interactions between molecules, cells, organisms, and populations contribute to larger systems","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PL3EED4C1D684D3ADF&name=Biology%20%282012%29"">Afficher les détails</a>"
World History,43,2012-01-26,"<a href=""https://www.youtube.com/playlist?list=PLBDA2E52FB1EF80C9"" target=""_blank"">Ouvrir</a>","<img src=""https://i.ytimg.com/vi/Yocja_N5s1I/default.jpg "" width=190>","In 42 episodes, John Green will begin teaching you the history of the world! This course is based on the 2012 AP World History curriculum, from growing the first crops in the First Agricultural Revolution to global textile production in the 2010s. By the end of the course, you will be able to:

*Identify and explain historical developments and processes
*Analyze the context of historical events, developments, and processes and explain how they are situated within a broader historical context
*Explain the importance of point of view, historical situation, and audience of a source
*Analyze patterns and connections among historical developments and processes, both laterally and chronologically through history
*Be a more informed citizen of the world","<a href=""/videos?playlist=https://www.youtube.com/playlist?list=PLBDA2E52FB1EF80C9&name=World%20History"">Afficher les détails</a>"
